block_id,drug1,drug2,conc1,conc2,conc_unit1,conc_unit2,response
1,Dipyridamole,Tucidinostat,0,0,uM,nM,78.10787424286126
1,Dipyridamole,Tucidinostat,4,0,uM,nM,69.45486010960484
1,Dipyridamole,Tucidinostat,8,0,uM,nM,74.8774156331122
1,Dipyridamole,Tucidinostat,16,0,uM,nM,70.72396884914912
1,Dipyridamole,Tucidinostat,0,360,uM,nM,40.61147966541678
1,Dipyridamole,Tucidinostat,0,180,uM,nM,39.22699740409576
1,Dipyridamole,Tucidinostat,0,90,uM,nM,57.802134410152874
1,Dipyridamole,Tucidinostat,4,360,uM,nM,27.45889818286703
1,Dipyridamole,Tucidinostat,4,180,uM,nM,49.84136140755697
1,Dipyridamole,Tucidinostat,4,90,uM,nM,59.417363715027406
1,Dipyridamole,Tucidinostat,8,360,uM,nM,30.227862705509086
1,Dipyridamole,Tucidinostat,8,180,uM,nM,28.4972598788578
1,Dipyridamole,Tucidinostat,8,90,uM,nM,62.417075281222964
1,Dipyridamole,Tucidinostat,16,360,uM,nM,18.92125757138737
1,Dipyridamole,Tucidinostat,16,180,uM,nM,40.03461205653302
1,Dipyridamole,Tucidinostat,16,90,uM,nM,44.534179405826364
1,Dipyridamole,Tucidinostat,0,0,uM,nM,107.87424286126335
1,Dipyridamole,Tucidinostat,4,0,uM,nM,91.26045572541102
1,Dipyridamole,Tucidinostat,8,0,uM,nM,64.37842515142775
1,Dipyridamole,Tucidinostat,16,0,uM,nM,75.22353619844246
1,Dipyridamole,Tucidinostat,0,360,uM,nM,44.07268531871935
1,Dipyridamole,Tucidinostat,0,180,uM,nM,69.33948658782809
1,Dipyridamole,Tucidinostat,0,90,uM,nM,74.8774156331122
1,Dipyridamole,Tucidinostat,4,360,uM,nM,46.49552927603115
1,Dipyridamole,Tucidinostat,4,180,uM,nM,54.3409287568503
1,Dipyridamole,Tucidinostat,4,90,uM,nM,67.8396308047303
1,Dipyridamole,Tucidinostat,8,360,uM,nM,22.61321026824344
1,Dipyridamole,Tucidinostat,8,180,uM,nM,43.9573117969426
1,Dipyridamole,Tucidinostat,8,90,uM,nM,60.57109893279492
1,Dipyridamole,Tucidinostat,16,360,uM,nM,19.036631093164118
1,Dipyridamole,Tucidinostat,16,180,uM,nM,41.64984136140755
1,Dipyridamole,Tucidinostat,16,90,uM,nM,45.22642053648688
1,Dipyridamole,Tucidinostat,0,0,uM,nM,102.22094029420248
1,Dipyridamole,Tucidinostat,4,0,uM,nM,85.37640611479665
1,Dipyridamole,Tucidinostat,8,0,uM,nM,89.06835881165273
1,Dipyridamole,Tucidinostat,16,0,uM,nM,69.5702336313816
1,Dipyridamole,Tucidinostat,0,360,uM,nM,49.49524084222671
1,Dipyridamole,Tucidinostat,0,180,uM,nM,72.56994519757716
1,Dipyridamole,Tucidinostat,0,90,uM,nM,93.10643207383906
1,Dipyridamole,Tucidinostat,4,360,uM,nM,28.4972598788578
1,Dipyridamole,Tucidinostat,4,180,uM,nM,39.22699740409576
1,Dipyridamole,Tucidinostat,4,90,uM,nM,69.8009806749351
1,Dipyridamole,Tucidinostat,8,360,uM,nM,18.805884049610615
1,Dipyridamole,Tucidinostat,8,180,uM,nM,55.49466397461782
1,Dipyridamole,Tucidinostat,8,90,uM,nM,56.9945197577156
1,Dipyridamole,Tucidinostat,16,360,uM,nM,23.07470435535045
1,Dipyridamole,Tucidinostat,16,180,uM,nM,37.72714162099798
1,Dipyridamole,Tucidinostat,16,90,uM,nM,48.91837323334294
1,Dipyridamole,Tucidinostat,0,0,uM,nM,111.7969426016729
1,Dipyridamole,Tucidinostat,4,0,uM,nM,67.8396308047303
1,Dipyridamole,Tucidinostat,8,0,uM,nM,83.64580328814537
1,Dipyridamole,Tucidinostat,16,0,uM,nM,65.07066628208825
1,Dipyridamole,Tucidinostat,0,360,uM,nM,55.72541101817132
1,Dipyridamole,Tucidinostat,0,180,uM,nM,55.033169887510816
1,Dipyridamole,Tucidinostat,0,90,uM,nM,72.2238246322469
1,Dipyridamole,Tucidinostat,4,360,uM,nM,28.266512835304297
1,Dipyridamole,Tucidinostat,4,180,uM,nM,47.99538505912893
1,Dipyridamole,Tucidinostat,4,90,uM,nM,66.33977502163253
1,Dipyridamole,Tucidinostat,8,360,uM,nM,22.959330833573695
1,Dipyridamole,Tucidinostat,8,180,uM,nM,35.304297663686185
1,Dipyridamole,Tucidinostat,8,90,uM,nM,49.379867320449954
1,Dipyridamole,Tucidinostat,16,360,uM,nM,23.07470435535045
1,Dipyridamole,Tucidinostat,16,180,uM,nM,38.419382751658496
1,Dipyridamole,Tucidinostat,16,90,uM,nM,48.110758580905674
